card_id,local_id,card_name,set_name,set_id,category,rarity,hp,types,stage,description,illustrator,image_url,image_filename,variants,attacks,weaknesses,retreat_cost,boosters,legal,source,updated
A1-001,001,Bulbasaur,Genetic Apex,A1,Pokemon,One Diamond,70,Grass,Basic,There is a plant seed on its back right from the day this Pokémon is born. The seed slowly grows larger.,Narumi Sato,https://assets.tcgdex.net/en/tcgp/A1/001,A1_001.jpg,"{""firstEdition"": false, ""holo"": true, ""normal"": true, ""reverse"": true, ""wPromo"": false}","[{""cost"": [""Grass"", ""Colorless""], ""name"": ""Vine Whip"", ""damage"": ""40""}]","[{""type"": ""Fire"", ""value"": ""+20""}]",1,"[{""id"": ""boo_A1-mewtwo"", ""name"": ""Mewtwo""}]","{""standard"": false, ""expanded"": false}",tcgdx_pocket_api,2025-05-18T00:53:26+02:00
A1-002,002,Ivysaur,Genetic Apex,A1,Pokemon,Two Diamond,90,Grass,Stage1,"When the bulb on its back grows large, it appears to lose the ability to stand on its hind legs.",Kurata So,https://assets.tcgdex.net/en/tcgp/A1/002,A1_002.jpg,"{""firstEdition"": false, ""holo"": true, ""normal"": true, ""reverse"": true, ""wPromo"": false}","[{""cost"": [""Grass"", ""Colorless"", ""Colorless""], ""name"": ""Razor Leaf"", ""damage"": ""60""}]","[{""type"": ""Fire"", ""value"": ""+20""}]",2,"[{""id"": ""boo_A1-mewtwo"", ""name"": ""Mewtwo""}]","{""standard"": false, ""expanded"": false}",tcgdx_pocket_api,2025-05-18T00:53:26+02:00
A1-003,003,Venusaur,Genetic Apex,A1,Pokemon,Three Diamond,160,Grass,Stage2,Its plant blooms when it is absorbing solar energy. It stays on the move to seek sunlight.,Ryota Murayama,https://assets.tcgdex.net/en/tcgp/A1/003,A1_003.jpg,"{""firstEdition"": false, ""holo"": true, ""normal"": true, ""reverse"": true, ""wPromo"": false}","[{""cost"": [""Grass"", ""Grass"", ""Colorless"", ""Colorless""], ""name"": ""Mega Drain"", ""effect"": ""Heal 30 damage from this Pok\u00e9mon."", ""damage"": ""80""}]","[{""type"": ""Fire"", ""value"": ""+20""}]",3,"[{""id"": ""boo_A1-mewtwo"", ""name"": ""Mewtwo""}]","{""standard"": false, ""expanded"": false}",tcgdx_pocket_api,2025-05-18T00:53:26+02:00
A1-004,004,Venusaur ex,Genetic Apex,A1,Pokemon,Four Diamond,190,Grass,Stage2,,PLANETA CG Works,https://assets.tcgdex.net/en/tcgp/A1/004,A1_004.jpg,"{""firstEdition"": false, ""holo"": true, ""normal"": true, ""reverse"": true, ""wPromo"": false}","[{""cost"": [""Grass"", ""Colorless"", ""Colorless""], ""name"": ""Razor Leaf"", ""damage"": ""60""}, {""cost"": [""Grass"", ""Grass"", ""Colorless"", ""Colorless""], ""name"": ""Giant Bloom"", ""effect"": ""Heal 30 damage from this Pok\u00e9mon."", ""damage"": ""100""}]","[{""type"": ""Fire"", ""value"": ""+20""}]",3,"[{""id"": ""boo_A1-mewtwo"", ""name"": ""Mewtwo""}]","{""standard"": false, ""expanded"": false}",tcgdx_pocket_api,2025-05-18T00:53:26+02:00
A1-005,005,Caterpie,Genetic Apex,A1,Pokemon,One Diamond,50,Grass,Basic,"For protection, it releases a horrible stench from the antenna on its head to drive away enemies.",Miki Tanaka,https://assets.tcgdex.net/en/tcgp/A1/005,A1_005.jpg,"{""firstEdition"": false, ""holo"": true, ""normal"": true, ""reverse"": true, ""wPromo"": false}","[{""cost"": [""Colorless""], ""name"": ""Find a Friend"", ""effect"": ""Put 1 random {G} Pok\u00e9mon from your deck into your hand.""}]","[{""type"": ""Fire"", ""value"": ""+20""}]",1,"[{""id"": ""boo_A1-pikachu"", ""name"": ""Pikachu""}]","{""standard"": false, ""expanded"": false}",tcgdx_pocket_api,2025-05-18T00:53:26+02:00
A1-006,006,Metapod,Genetic Apex,A1,Pokemon,One Diamond,80,Grass,Stage1,"It is waiting for the moment to evolve. At this stage, it can only harden, so it remains motionless to avoid attack.",Yuka Morii,https://assets.tcgdex.net/en/tcgp/A1/006,A1_006.jpg,"{""firstEdition"": false, ""holo"": true, ""normal"": true, ""reverse"": true, ""wPromo"": false}","[{""cost"": [""Colorless"", ""Colorless""], ""name"": ""Bug Bite"", ""damage"": ""30""}]","[{""type"": ""Fire"", ""value"": ""+20""}]",2,"[{""id"": ""boo_A1-pikachu"", ""name"": ""Pikachu""}]","{""standard"": false, ""expanded"": false}",tcgdx_pocket_api,2025-05-18T00:53:26+02:00
A1-007,007,Butterfree,Genetic Apex,A1,Pokemon,Three Diamond,120,Grass,Stage2,"In battle, it flaps its wings at great speed to release highly toxic dust into the air.",Shin Nagasawa,https://assets.tcgdex.net/en/tcgp/A1/007,A1_007.jpg,"{""firstEdition"": false, ""holo"": true, ""normal"": true, ""reverse"": true, ""wPromo"": false}","[{""cost"": [""Grass"", ""Colorless"", ""Colorless""], ""name"": ""Gust"", ""damage"": ""60""}]","[{""type"": ""Fire"", ""value"": ""+20""}]",1,"[{""id"": ""boo_A1-pikachu"", ""name"": ""Pikachu""}]","{""standard"": false, ""expanded"": false}",tcgdx_pocket_api,2025-05-18T00:53:26+02:00
A1-008,008,Weedle,Genetic Apex,A1,Pokemon,One Diamond,50,Grass,Basic,"Often found in forests and grasslands. It has a sharp, toxic barb of around two inches on top of its head.",Hajime Kusajima,https://assets.tcgdex.net/en/tcgp/A1/008,A1_008.jpg,"{""firstEdition"": false, ""holo"": true, ""normal"": true, ""reverse"": true, ""wPromo"": false}","[{""cost"": [""Grass""], ""name"": ""Sting"", ""damage"": ""20""}]","[{""type"": ""Fire"", ""value"": ""+20""}]",1,"[{""id"": ""boo_A1-mewtwo"", ""name"": ""Mewtwo""}]","{""standard"": false, ""expanded"": false}",tcgdx_pocket_api,2025-05-18T00:53:26+02:00
A1-009,009,Kakuna,Genetic Apex,A1,Pokemon,One Diamond,80,Grass,Stage1,"Almost incapable of moving, this Pokémon can only harden its shell to protect itself when it is in danger.",miki kudo,https://assets.tcgdex.net/en/tcgp/A1/009,A1_009.jpg,"{""firstEdition"": false, ""holo"": true, ""normal"": true, ""reverse"": true, ""wPromo"": false}","[{""cost"": [""Grass""], ""name"": ""Bug Bite"", ""damage"": ""30""}]","[{""type"": ""Fire"", ""value"": ""+20""}]",2,"[{""id"": ""boo_A1-mewtwo"", ""name"": ""Mewtwo""}]","{""standard"": false, ""expanded"": false}",tcgdx_pocket_api,2025-05-18T00:53:26+02:00
A1-010,010,Beedrill,Genetic Apex,A1,Pokemon,Three Diamond,120,Grass,Stage2,It has three poisonous stingers on its forelegs and its tail. They are used to jab its enemy repeatedly.,You Iribi,https://assets.tcgdex.net/en/tcgp/A1/010,A1_010.jpg,"{""firstEdition"": false, ""holo"": true, ""normal"": true, ""reverse"": true, ""wPromo"": false}","[{""cost"": [""Grass""], ""name"": ""Sharp Sting"", ""damage"": ""70""}]","[{""type"": ""Fire"", ""value"": ""+20""}]",1,"[{""id"": ""boo_A1-mewtwo"", ""name"": ""Mewtwo""}]","{""standard"": false, ""expanded"": false}",tcgdx_pocket_api,2025-05-18T00:53:26+02:00
